epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,10935.3,0.56683,0.39387,1.00426,0.99698,0.95238,0.98425,0.81423,0.76938,0.52467,1.18084,0.0013268,0.0013268,0.0013268
104,11054.7,0.59773,0.4262,1.01379,0.98111,0.95238,0.98108,0.82312,0.75682,0.52188,1.17313,0.0013202,0.0013202,0.0013202
105,11182.9,0.55582,0.39831,1.04633,0.98296,0.96825,0.98489,0.83283,0.72216,0.46546,1.16432,0.0013136,0.0013136,0.0013136
106,11319.8,0.53024,0.39524,1.02852,0.9841,0.98273,0.9916,0.82731,0.72433,0.4543,1.16969,0.001307,0.001307,0.001307
107,11452.5,0.56171,0.40023,1.01959,0.99847,0.96825,0.99153,0.8187,0.73329,0.45825,1.1836,0.0013004,0.0013004,0.0013004
108,11577.9,0.5471,0.38456,1.03651,1,0.98302,0.99208,0.82616,0.70434,0.44138,1.1631,0.0012938,0.0012938,0.0012938
109,11702.7,0.56799,0.39717,1.02614,1,0.98352,0.99089,0.82328,0.74577,0.48547,1.15364,0.0012872,0.0012872,0.0012872
110,11837.5,0.58701,0.41385,1.0288,1,0.98288,0.99043,0.81713,0.76,0.46411,1.17805,0.0012806,0.0012806,0.0012806
111,11961,0.6359,0.44041,1.0333,0.9999,0.98413,0.98996,0.81841,0.77338,0.46761,1.1996,0.001274,0.001274,0.001274
112,12090.4,0.58373,0.40582,1.02908,1,0.98042,0.98891,0.81267,0.78135,0.52009,1.15296,0.0012674,0.0012674,0.0012674
113,12216.1,0.63981,0.43095,1.03586,0.96438,0.95238,0.98121,0.79851,0.82758,0.5403,1.18752,0.0012608,0.0012608,0.0012608
114,12345,0.5714,0.40657,1.01742,0.96763,0.94887,0.98059,0.82036,0.77768,0.54206,1.17876,0.0012542,0.0012542,0.0012542
115,12472.7,0.60035,0.41827,1.01902,0.97641,0.95238,0.97979,0.80871,0.76258,0.51456,1.19546,0.0012476,0.0012476,0.0012476
116,12600.7,0.52905,0.39188,1.0064,0.99736,0.96825,0.98473,0.80875,0.78086,0.48728,1.18038,0.001241,0.001241,0.001241
117,12737.6,0.51347,0.36131,1.01655,0.99878,0.96825,0.97866,0.80469,0.75878,0.48142,1.19642,0.0012344,0.0012344,0.0012344
